ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏ¾î±Ç),°æº¹±Ã(Áß¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏ¾î±Ç),Ã¢´ö±Ã(Áß¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏ¾î±Ç),Ã¢°æ±Ã(Áß¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏ¾î±Ç),´ö¼ö±Ã(Áß¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Á¾¹¦(À¯·á),Á¾¹¦(¹«·á),Á¾¹¦(³»±¹ÀÎ),Á¾¹¦(¿µ¾î±Ç),Á¾¹¦(ÀÏ¾î±Ç),Á¾¹¦(Áß¾î±Ç),Á¾¹¦(±âÅ¸¿Ü±¹ÀÎ)
2025-03-30,8074,10316,8035,5026,1174,1737,2418,4440,3602,5815,1497,200,37,493,1841,3336,4542,530,46,23,36,1820,4087,4796,740,126,91,154,901,615,1077,317,91,6,25
2025-03-31,9393,12768,9565,5477,1583,2801,2735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,223,412,278,50,15,17
2025-04-01,0,0,0,0,0,0,0,6295,6221,8970,2675,112,106,653,2736,4148,5693,993,32,19,147,2944,11262,11788,1357,239,263,559,0,0,0,0,0,0,0
2025-04-02,9635,14943,13870,5502,1373,1875,1958,3949,4285,6021,1411,91,59,652,1657,2972,4020,569,22,17,1,1996,8885,9312,938,185,193,253,319,217,261,198,56,8,13
2025-04-03,8741,13637,10586,8618,514,1705,955,4806,4952,7075,2107,63,104,409,2615,3541,5278,776,13,29,60,2656,11161,12194,951,135,241,296,413,313,440,208,52,14,12
2025-04-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,1004,1707,332,14,31,53,0,0,0,0,0,0,0,349,206,298,213,32,9,3
2025-04-05,5294,5441,7787,1737,278,751,182,2980,2634,4253,639,84,80,558,1362,1807,2836,276,23,28,6,1163,3806,4201,465,59,111,133,668,409,836,146,64,8,23
2025-04-06,13987,18784,16979,8091,1543,3070,3088,9278,9472,15587,2408,115,99,541,6711,6283,11855,934,38,45,122,4560,8926,11631,1327,136,116,276,2300,1453,2978,685,58,9,23
2025-04-07,12488,20473,17660,7573,2203,2680,2845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,238,510,270,43,8,4
2025-04-08,0,0,0,0,0,0,0,7455,11784,15337,3514,81,132,175,4103,5372,8193,1080,34,45,123,6053,14375,18339,1430,120,167,372,0,0,0,0,0,0,0
2025-04-09,10328,15807,15177,5345,1268,1515,2830,4755,6587,9015,2086,48,32,161,2481,3387,5158,587,26,21,76,4374,11634,14508,1069,85,135,211,424,230,398,190,40,13,13
2025-04-10,9400,13447,11883,4824,1242,2444,2454,4894,6141,8746,1920,32,75,262,3115,3908,6305,565,32,21,100,5713,12948,17097,1064,140,161,199,382,224,391,158,32,10,15
2025-04-11,11268,19323,17152,6105,1251,2567,3516,6276,5790,9663,1937,91,55,320,5262,5453,9942,613,27,49,84,9213,16052,23827,1027,101,86,224,547,348,656,157,60,16,6
2025-04-12,9961,11938,14383,6147,293,577,499,5103,6918,10058,1562,69,65,267,3033,3804,6243,429,27,10,128,3453,7142,9480,813,105,69,128,1394,947,1891,437,10,2,1
2025-04-13,7547,8861,8267,6755,272,886,228,3392,4081,5538,1466,40,34,395,1408,1168,2110,371,6,22,67,2194,3278,4249,875,97,34,217,715,381,738,341,15,0,2
2025-04-14,6059,9234,10432,3456,244,399,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,62,170,120,22,8,4
2025-04-15,0,0,0,0,0,0,0,7421,5644,8107,3418,249,84,1207,3007,3255,4710,1295,26,36,195,4484,12175,13993,1749,182,382,353,0,0,0,0,0,0,0
2025-04-16,13090,21249,26180,6129,340,767,923,4362,4100,5857,1977,68,56,504,2489,2460,4144,744,24,5,32,3546,13790,15745,1083,117,108,283,431,329,551,155,40,4,10
2025-04-17,10346,17021,13929,9647,233,1102,2456,3965,4997,6534,1685,44,47,652,2209,2983,4343,740,19,23,67,3245,10543,12389,948,125,173,153,449,397,566,207,43,5,25
2025-04-18,9936,15552,13681,6220,1277,2774,1536,4149,3883,5515,2130,61,58,268,2836,2422,4331,769,40,10,108,3693,11122,13331,1131,127,58,168,550,260,501,229,61,10,9
2025-04-19,8421,9329,10825,3498,223,1788,1416,1532,548,1365,432,47,27,209,1828,1977,3456,280,24,12,33,2474,6215,7686,671,68,75,189,1115,723,1424,323,65,3,23
2025-04-20,15599,21111,20929,11815,407,1803,1756,0,0,0,0,0,0,0,4050,3200,6478,665,28,32,47,5480,9995,13493,1362,140,145,335,0,0,0,0,0,0,0
